cell_km,medoid_rank,consensus_rank,species,occurrence_rows,unique_locations,duplicate_rows,occupied_cells,occupied_area_km2,centroid_x_km,centroid_y_km,mean_pairwise_jsd,jsd_to_consensus
10,156,149,Saxifraga cernua,2688,2688,0,797,79700,245.85676890380975,1590.5633013468482,0.953085144636552,0.8756642752252212
10,157,151,Ranunculus pygmaeus,2092,2092,0,768,76800,190.84899581896005,1520.9508553153275,0.9548762407929925,0.8776822187603213
10,158,161,Festuca versicolor,88,88,0,33,3300,603.5252814901352,-340.47417075023947,0.9559905339722686,0.9032069184034037
10,159,165,Festuca varia,43,43,0,29,2900,372.44351232664724,-625.8192828383787,0.956274702720042,0.9114425514685288
10,160,164,Festuca eskia,623,623,0,75,7500,-657.9674370646145,-1012.5139287361256,0.9562944163715877,0.9078778620806806
10,161,152,Saxifraga cespitosa,2401,2401,0,968,96800,124.72408925351378,1482.4608436471187,0.9586313112214554,0.8824818678317917
10,162,160,Pentanema ensifolium,861,861,0,438,43800,1064.9209795217287,-320.7278989853708,0.9611095811498014,0.9026009715247081
10,163,155,Verbascum phoeniceum,2471,2471,0,1492,149200,1279.184828595733,-147.87450634692405,0.9619677114365636,0.8853381091569259
10,164,163,Iris pumila,1791,1791,0,855,85500,1779.8847945793627,-191.37881886050505,0.9694089701628248,0.9074024790068324
10,165,162,Artemisia austriaca,1945,1945,0,1120,112000,1897.8867954388352,96.85680105983243,0.9704120248709321,0.9065476799975701
10,166,167,Seseli osseum,206,206,0,107,10700,467.16747975967917,-375.9340159932572,0.9739614433644259,0.9369111315610321
10,167,166,Salvia nutans,1040,1040,0,563,56300,1788.6127150726875,-56.665463228667264,0.9786097202278764,0.9328063243747431
20,1,1,Phyteuma orbiculare,13877,13877,0,1145,458000,-136.37167204042365,-641.8318373687961,0.6249475123863534,0.3014446079626814
20,2,6,Sesleria caerulea,15828,15828,0,1059,423600,-192.04294145064347,-641.6053496797094,0.6366166067304427,0.3409563959053502
20,3,4,Hippocrepis comosa,25338,25338,0,2007,802800,-349.15827336186175,-607.2366637289151,0.6459583336017678,0.31812880754761574
20,4,21,Scabiosa lucida,6175,6175,0,499,199600,-44.45341688909029,-620.7362250053354,0.6521930843096971,0.3966521905861041
20,5,28,Bellidiastrum michelii,7417,7417,0,410,164000,-89.11149982019771,-659.3917800695367,0.6532471677603674,0.41190505633200336
20,6,23,Carex sempervirens,7709,7709,0,470,188000,-93.8152545483707,-651.0540138881273,0.6571953447545802,0.3988127318711446
20,7,25,Galium anisophyllon,5936,5936,0,447,178800,48.545851445461004,-583.7696747841609,0.6579344009641331,0.4001572373805574
20,8,29,Campanula cochleariifolia,7148,7148,0,468,187200,-12.878366669819433,-602.1628781692854,0.6607661473099246,0.4127725799679667
20,9,27,Potentilla aurea,8776,8776,0,591,236400,16.031199920699457,-595.7797138223933,0.661386479097127,0.40717861866781424
20,10,31,Geum montanum,9625,9625,0,498,199200,-75.06273732898966,-668.221469202911,0.6652294432858069,0.4218062369863328
20,11,32,Aster alpinus,6654,6654,0,721,288400,-21.70950615837601,-616.0684092307164,0.6683906913531786,0.42470940915162736
20,12,17,Teucrium montanum,12454,12454,0,1222,488800,-228.90544350258585,-710.6948298345477,0.6686762457590514,0.3876877279016053
20,13,35,Hornungia alpina,3646,3646,0,378,151200,-138.71409298726724,-662.1519714264821,0.6688686405871245,0.42746711446516716
20,14,38,Agrostis rupestris,4464,4464,0,354,141600,-97.257250490589,-686.1925981083687,0.6745786544677836,0.43367206550832954
20,15,47,Saxifraga androsacea,1907,1907,0,232,92800,-30.83222601728503,-629.9810018521406,0.6789480453166299,0.46312061807917937
20,16,44,Euphrasia minima,4358,4358,0,345,138000,-112.3266855190419,-683.5061069855793,0.6808971694076588,0.4521571522486668
20,17,49,Helictochloa versicolor,3798,3798,0,305,122000,-72.25111428879828,-663.3214392172084,0.6839948557241261,0.46763587086525504
20,18,45,Hieracium villosum,2380,2380,0,337,134800,-2.2950217043377883,-609.2160005776941,0.6846896049147441,0.46160634773042
20,19,12,Trifolium montanum,16891,16891,0,2985,1194000,343.5372302816735,-225.52260069175207,0.6854495019416891,0.3779240987122251
20,20,53,Festuca quadriflora,2389,2389,0,244,97600,-26.189996297653067,-620.1222077539204,0.6867371633320554,0.48360100123344996
20,21,2,Plantago media,54872,54872,0,6365,2546000,-61.80315844782032,-137.3795980177346,0.6870489273109704,0.30654412396022446
20,22,9,Teucrium chamaedrys,37095,37095,0,3276,1310400,-247.86705709535613,-757.5372211041569,0.6874803340211316,0.3576543911738405
20,23,11,Stachys recta,20586,20586,0,2646,1058400,-153.96478889799258,-611.769513622419,0.6876825574870398,0.3774619939062094
20,24,3,Sedum album,39261,39261,0,4412,1764800,-402.5241897157522,-477.5120147424321,0.6878762687123081,0.3174524591563505
20,25,16,Bromus erectus,36910,36910,0,2543,1017200,-408.9045835212164,-579.0510769448324,0.6892034782552341,0.3856625620130291
20,26,10,Thymus pulegioides,22391,22391,0,3454,1381600,-113.99867113713707,-391.65120257933046,0.6909678637348811,0.3614618302548077
20,27,18,Potentilla verna,24735,24735,0,2204,881600,-346.8142095586783,-569.0435685631245,0.6912345675021451,0.3944708041967536
20,28,7,Poterium sanguisorba,55001,55001,0,4515,1806000,-397.69982673779805,-553.6955822513277,0.6974579610095499,0.3482660822888601
20,29,5,Briza media,61027,61027,0,5135,2054000,-195.1813351640271,-91.27102691509943,0.6980965415302351,0.33770598737287993
